상표법,2,0,40,3,209,17,30,4,1,1,5,0,2,78,2,2101,0,1,4,10,0,6,1,16,0,154,0,0,6,17,104,9,0,1,4,2,4,32,0,0,17,43,0,0,276,1274
석유및석유대체연료사업법,27,0,0,8,46,1,2,0,0,0,2,0,1,1,0,632,0,0,1,3,0,49,0,2,0,68,0,0,2,22,98,0,0,0,0,0,0,9,0,0,2,13,0,0,88,175
선박안전법,7,0,0,2,1,0,0,1,0,0,0,0,0,0,0,82,0,0,1,0,0,1,0,0,0,33,0,0,0,0,133,0,0,0,0,0,0,0,1,0,0,0,0,0,3,89
선박직원법,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,11,42
성매매알선등행위의처벌에관한법률,100,0,41,128,38,11,60,147,446,6,59,4,18,3,0,2911,10,22,97,37,42,200,10,61,1,3612,21,636,68,282,2322,27,1,5,1,0,26,430,84,0,520,132,0,12,5130,3545
수도법,25,0,7,4,4,1,9,0,0,0,1,0,0,1,0,46,1,0,1,0,2,3,1,1,0,40,0,0,1,7,11,0,0,0,0,0,0,3,1,0,2,3,0,0,19,30
수산업법,623,0,0,2,1,0,2,0,0,0,1,0,0,0,0,24,0,0,0,0,0,2,0,0,0,3,0,0,0,8,134,0,0,0,0,0,0,1,1,0,0,2,0,0,19,719
수산자원관리법,364,0,2,20,25,0,21,1,0,1,1,0,0,6,0,114,0,0,2,0,1,7,1,0,0,39,0,0,3,8,107,0,0,0,0,0,0,3,5,0,0,19,0,0,65,1005
식품위생법,314,0,138,4,182,13,1589,5,591,0,9,1,0,215,1,3671,1,15,2,21,1,22,0,80,0,244,1,320,145,22,547,3,0,1,8,1,8,98,4,0,21,137,0,0,749,2450
신용정보의이용및보호에관한법률,3,0,0,3,0,0,0,1,0,1,1,1,0,0,0,41,0,0,0,0,0,0,0,1,0,14,7,0,1,0,4,0,0,0,0,0,0,3,1,0,0,5,0,0,17,18
"아동,청소년의성보호에관한법률(성매수등)",5,0,3,13,3,0,2,4,2,1,4,0,2,0,0,84,0,2,10,3,4,15,0,5,0,187,2,8,3,23,57,3,0,0,1,0,0,11,13,0,182,0,0,6,314,109
"아동,청소년의성보호에관한법률(음란물등)",2,0,3,1,0,0,1,1,0,0,0,0,0,0,0,23,0,2,0,0,7,7,1,0,0,90,0,0,3,11,28,1,0,0,0,0,1,12,2,0,157,0,0,2,108,70
아동복지법,37,1,12,45,5,4,21,1,6,0,14,4,7,7,0,534,80,10,42,8,12,73,7,10,0,576,6,9,37,148,388,11,1,9,22,3,4,518,144,0,72,321,0,2,934,385
액화석유가스의안전관리및사업법,0,0,1,1,8,2,0,0,0,1,0,0,1,0,0,138,0,0,0,0,0,0,0,0,0,4,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34
약사법,6,0,5,2,54,4,3,0,0,0,0,47,0,2,3,299,0,6,1,7,0,2,0,3,0,64,0,0,1,7,145,35,1,0,2,0,1,563,1,0,7,13,0,1,140,440
여객자동차운수사업법,20,0,1,10,8,0,6,5,2,0,14,0,10,2,0,466,0,4,5,3,0,625,3,6,0,240,0,3,6,70,325,0,0,0,2,1,2,20,2,0,14,17,0,6,534,391
여신전문금융업법,15,0,4,13,18,3,39,3,21,3,4,0,3,3,0,370,2,1,11,7,4,42,9,7,0,169,0,6,23,75,133,2,0,1,8,0,1,36,7,0,86,41,0,1,522,317
영유아보육법,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,158,15,0,0,1,0,0,0,0,0,10,0,0,0,0,22,0,0,0,5,0,0,47,0,0,0,21,0,0,50,65
예비군법,23,0,30,86,35,3,101,4,45,2,14,4,7,4,0,682,7,14,72,69,26,68,10,53,1,1542,1,48,174,536,1190,20,3,0,5,3,40,177,2,0,120,6,0,0,1530,837
옥외광고물등의관리와옥외광고산업진흥에관한법률,1,0,3,11,3,0,4,0,6,18,28,1,0,0,0,199,0,5,2,1,0,27,0,8,0,96,0,3,2,8,34,1,0,0,1,1,0,4,0,0,0,1,0,0,40,132
외국환거래법,0,0,1,1,6,7,5,2,0,3,1,2,0,2,2,114,0,1,1,2,1,0,0,1,0,70,0,2,6,9,27,1,0,0,4,1,0,3,3,0,2,43,0,0,110,411
위험물안전관리법,6,0,11,0,4,0,0,1,0,1,0,0,0,0,0,191,0,0,1,0,0,98,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,2,0,0,8,343
유사수신행위의규제에관한법률,7,0,6,8,9,5,5,1,0,5,29,0,0,1,0,439,0,3,4,2,1,11,0,10,1,248,0,0,5,21,90,0,0,1,12,0,1,95,2,0,1,48,0,0,550,719
의료기기법,0,0,12,1,18,2,1,0,0,0,0,6,0,0,0,233,0,0,0,0,0,1,0,4,0,23,0,0,0,1,9,13,0,0,0,0,0,10,0,0,0,3,0,0,11,255
의료법,14,0,1,12,9,4,6,1,18,1,6,162,0,0,0,964,1,29,17,2,1,5,0,12,0,177,2,17,8,14,475,1421,1,4,22,1,5,768,16,0,20,73,0,1,486,821
자동차관리법,527,0,111,649,157,49,192,11,33,20,104,5,384,249,7,5751,8,38,195,24,24,1904,24,102,3,3170,6,16,90,766,1716,15,1,11,55,9,54,350,39,0,291,310,0,17,2834,6253
자동차손해배상보장법,718,2,132,997,45,67,172,7,28,7,106,4,24,41,0,4198,3,48,227,14,38,680,29,112,0,3356,2,8,118,2234,2228,8,4,1,75,12,42,444,33,9,644,722,0,20,5767,17482
자본시장과금융투자업에관한법률,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,72,0,0,0,0,0,0,0,0,0,46,1,0,0,0,18,2,3,0,0,0,0,13,2,0,2,4,0,0,83,378
저작권법,38,1,185,72,51,2,60,6,622,1,24,6,7,2,1,2090,5,16,32,20,7,43,22,20,1,1398,5,82,29,156,341,19,3,21,31,6,70,232,21,0,429,118,2,12,1333,4921
